row	seed	threads	draw	outcome	moves	states	time	passes
1171	1218768	4	1	2	0	2996194	5.93584	-1
1172	1219605	4	1	2	0	4651	0.121837	-1
1173	1220442	4	1	2	0	8555	0.122228	-1
1174	1221279	4	1	2	0	3597	0.119012	-1
1175	1222116	4	1	2	0	88627	0.357106	-1
1176	1222953	4	1	0	106	264682	0.777092	1
1177	1223790	4	1	2	0	7496	0.122641	-1
1178	1224627	4	1	2	0	171058	0.601354	-1
1179	1225464	4	1	2	0	65058	0.289849	-1
1180	1226301	4	1	2	0	25245	0.140444	-1
1181	1227138	4	1	0	95	32893	0.136162	1
1182	1227975	4	1	2	0	13330	0.126459	-1
1183	1228812	4	1	2	0	121064	0.485522	-1
1184	1229649	4	1	2	0	65704	0.253779	-1
1185	1230486	4	1	2	0	19	0.1171	-1
1186	1231323	4	1	2	0	77606	0.320986	-1
1187	1232160	4	1	2	0	18795	0.123643	-1
1188	1232997	4	1	2	0	672374	2.02474	-1
1189	1233834	4	1	2	0	1751	0.119324	-1
1190	1234671	4	1	2	0	5965168	13.4283	-1
1191	1235508	4	1	2	0	24577	0.144555	-1
1192	1236345	4	1	0	98	1075835	2.3402	1
1193	1237182	4	1	2	0	65102	0.254615	-1
1194	1238019	4	1	0	89	10026	0.116168	1
1195	1238856	4	1	2	0	52449	0.221335	-1
1196	1239693	4	1	2	0	882152	2.32673	-1
1197	1240530	4	1	2	0	155271	0.551903	-1
1198	1241367	4	1	2	0	127518	0.543756	-1
1199	1242204	4	1	0	105	148386	0.633613	1
1200	1243041	4	1	0	115	2452863	5.71854	1
1201	1243878	4	1	0	96	2067150	4.94332	1
1202	1244715	4	1	2	0	253209	1.00514	-1
1203	1245552	4	1	2	0	125481	0.479863	-1
1204	1246389	4	1	0	101	341222	1.06737	1
1205	1247226	4	1	2	0	132781	0.503502	-1
1206	1248063	4	1	2	0	545966	1.95964	-1
1207	1248900	4	1	2	0	96245	0.364751	-1
1208	1249737	4	1	2	0	5679	0.123129	-1
1209	1250574	4	1	2	0	4895	0.124982	-1
1210	1251411	4	1	2	0	1736755	4.22236	-1
1211	1252248	4	1	2	0	18634	0.130064	-1
1212	1253085	4	1	0	100	3922955	7.87186	1
1213	1253922	4	1	0	114	5956921	14.3228	1
1214	1254759	4	1	2	0	446287	2.30105	-1
1215	1255596	4	1	0	102	235882	1.28055	1
1216	1256433	4	1	2	0	9974	0.129803	-1
1217	1257270	4	1	2	0	77615	0.351647	-1
1218	1258107	4	1	2	0	723	0.120099	-1
1219	1258944	4	1	2	0	36652	0.173589	-1
1220	1259781	4	1	2	0	39804	0.191415	-1
1221	1260618	4	1	2	0	3261	0.12952	-1
1222	1261455	4	1	0	103	7118262	12.2035	1
1223	1262292	4	1	0	98	772990	2.09915	1
1224	1263129	4	1	0	100	1055464	2.47206	1
1225	1263966	4	1	2	0	187975	0.700398	-1
1226	1264803	4	1	0	103	564456	1.76252	1
1227	1265640	4	1	2	0	133991	0.451658	-1
1228	1266477	4	1	2	0	80929	0.312874	-1
1229	1267314	4	1	2	0	10495	0.131251	-1
1230	1268151	4	1	2	0	831136	2.43895	-1
1231	1268988	4	1	0	108	636123	2.0684	1
1232	1269825	4	1	2	0	412999	1.47091	-1
1233	1270662	4	1	2	0	19964	0.128877	-1
1234	1271499	4	1	2	0	17764	0.130322	-1
1235	1272336	4	1	0	106	203034	0.630415	1
1236	1273173	4	1	0	107	4628814	8.6463	1
1237	1274010	4	1	0	112	659311	1.91691	1
1238	1274847	4	1	2	0	66127	0.296885	-1
1239	1275684	4	1	2	0	8867	0.121071	-1
1240	1276521	4	1	2	0	47074	0.220467	-1
1241	1277358	4	1	0	105	732145	2.45614	1
1242	1278195	4	1	2	0	5642	0.120237	-1
1243	1279032	4	1	0	106	6695792	12.5456	1
1244	1279869	4	1	0	110	1401214	3.29116	1
1245	1280706	4	1	0	107	228836	0.725055	1
1246	1281543	4	1	2	0	4580	0.129963	-1
1247	1282380	4	1	2	0	1036	0.12674	-1
1248	1283217	4	1	2	0	86263	0.353167	-1
1249	1284054	4	1	0	113	743454	2.19012	1
1250	1284891	4	1	2	0	1178	0.11789	-1
1251	1285728	4	1	0	119	285505	0.999902	1
1252	1286565	4	1	0	106	217610	0.808842	1
1253	1287402	4	1	2	0	48223	0.232847	-1
1254	1288239	4	1	2	0	1215362	3.53142	-1
1255	1289076	4	1	2	0	4325	0.121455	-1
1256	1289913	4	1	2	0	112936	0.435194	-1
1257	1290750	4	1	2	0	186	0.11723	-1
1258	1291587	4	1	2	0	54971	0.235896	-1
1259	1292424	4	1	2	0	25484	0.151175	-1
1260	1293261	4	1	0	98	44790	0.202042	1
1261	1294098	4	1	0	110	477850	1.42749	1
