row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6672	6672	16	3	0	91	3	0.06687	174445	394273	176638
6673	6673	16	3	2			0.04709	0	1899	1122
6674	6674	16	3	2			0.1744	0	745275	438885
6675	6675	16	3	0	107	4	0.4037	1201532	2789709	1278967
6676	6676	16	3	0	99	3	0.04698	57351	140615	70508
6677	6677	16	3	0	117	5	0.2131	395245	1206751	634379
6678	6678	16	3	0	92	2	0.5449	2142727	4180681	1833588
6679	6679	16	3	0	98	3	0.0894	139021	467387	227211
6680	6680	16	3	0	113	4	0.9948	1454236	5661982	3139837
6681	6681	16	3	0	108	5	0.04699	19798	62326	35758
6682	6682	16	3	2			0.2014	0	840061	489598
6683	6683	16	3	0	105	4	0.1568	204057	824385	463315
6684	6684	16	3	2			0.04699	0	2	3
6685	6685	16	3	0	105	4	2.455	4623478	14321798	7902758
6686	6686	16	3	0	101	3	0.7973	2278522	5375549	2614177
6687	6687	16	3	0	102	4	0.1665	376433	1039690	550249
6688	6688	16	3	2			31.3	0	111676985	66322012
6689	6689	16	3	0	100	3	3.214	5461808	17139973	8391170
6690	6690	16	3	0	99	3	3.329	6171789	18101668	9272376
6691	6691	16	3	0	97	3	0.915	2381444	5870409	2899913
6692	6692	16	3	0	98	2	0.7768	1546515	4703679	2215932
6693	6693	16	3	2			0.04689	0	22029	12502
6694	6694	16	3	0	104	3	0.07621	168365	384034	177583
6695	6695	16	3	0	99	2	3.447	8307428	20573270	9610173
6696	6696	16	3	0	90	3	0.07385	118076	378353	180271
6697	6697	16	3	0	97	3	0.6411	950482	3634562	1807823
6698	6698	16	3	0	88	3	0.04711	64174	128357	53501
6699	6699	16	3	0	113	5	0.06924	84278	334879	195095
6700	6700	16	3	2			5.357	0	19920776	12352645
6701	6701	16	3	0	98	4	0.3286	736100	2015094	1021257
6702	6702	16	3	0	104	4	0.1957	376138	1105366	571994
6703	6703	16	3	0	102	4	0.2652	913169	1826847	826784
6704	6704	16	3	0	105	4	0.4734	1190161	2969117	1510018
6705	6705	16	3	0	97	3	5.352	10720753	28770563	14291553
6706	6706	16	3	2			0.3773	0	1601796	947345
6707	6707	16	3	0	94	3	0.04703	89739	182510	87674
6708	6708	16	3	0	97	3	0.1902	444591	1156989	580128
6709	6709	16	3	2			0.2088	0	874316	501536
6710	6710	16	3	2			0.04695	0	662	369
6711	6711	16	3	0	91	3	0.5264	2093241	4043905	1714740
6712	6712	16	3	0	108	4	0.05363	176815	342543	151042
6713	6713	16	3	0	100	3	0.06643	163577	387002	183234
6714	6714	16	3	0	94	3	0.07217	252130	481811	207352
6715	6715	16	3	2			0.04689	0	69	38
6716	6716	16	3	0	91	3	0.5973	1797563	4010990	1840235
6717	6717	16	3	2			0.04693	0	0	0
6718	6718	16	3	0	93	1	0.6096	1464707	3762147	1883515
6719	6719	16	3	0	103	4	0.2357	1069506	1883137	715078
6720	6720	16	3	0	95	3	0.2062	485013	1236007	550394
6721	6721	16	3	2			0.04695	0	8897	5358
6722	6722	16	3	0	99	4	0.06265	55140	286885	149243
6723	6723	16	3	0	92	2	0.5848	1518558	3622524	1692325
6724	6724	16	3	2			0.04695	0	33036	18576
6725	6725	16	3	0	94	3	0.1578	498161	1106382	541062
6726	6726	16	3	0	93	3	0.1334	439347	919404	426122
6727	6727	16	3	0	116	6	0.04735	61711	199568	106254
6728	6728	16	3	2			0.04743	0	28854	19054
6729	6729	16	3	0	91	2	0.6778	3789966	6177727	2244135
6730	6730	16	3	2			0.04697	0	32330	20598
6731	6731	16	3	0	112	5	0.1396	67033	635267	364941
