row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
28858	28858	16	3	0	97	4	1.056	3046781	3950223	2955151
28859	28859	16	3	0	99	3	0.08772	141552	260090	180032
28860	28860	16	3	0	92	3	0.0703	150691	172447	147019
28861	28861	16	3	0	109	5	0.1537	194871	549114	397509
28862	28862	16	3	0	94	2	1.027	2654725	3855761	2792845
28863	28863	16	3	0	97	2	0.2259	410919	881677	675704
28864	28864	16	3	0	88	2	0.04861	121673	95298	85371
28865	28865	16	3	0	91	3	0.2638	747279	959441	753234
28866	28866	16	3	0	91	1	0.1755	641529	593980	482628
28867	28867	16	3	2			0.004194	0	5	1
28868	28868	16	3	0	94	3	0.1165	323069	362986	309278
28869	28869	16	3	2			0.003769	0	1	0
28870	28870	16	3	2			0.1576	0	605397	335751
28871	28871	16	3	0	105	4	0.2857	720571	1055791	803343
28872	28872	16	3	0	85	2	0.2309	827965	779790	639572
28873	28873	16	3	0	96	3	0.9697	2001780	3770870	2700935
28874	28874	16	3	2			0.7073	0	2984196	1633774
28875	28875	16	3	2			0.004127	0	6	2
28876	28876	16	3	0	100	3	0.2081	644404	726489	636979
28877	28877	16	3	0	102	3	0.1498	347086	564578	405131
28878	28878	16	3	2			0.4488	0	1879817	1139956
28879	28879	16	3	0	109	3	0.05071	54031	108915	78502
28880	28880	16	3	0	102	3	1.948	3776280	7221736	5339566
28881	28881	16	3	2			2.518	0	9635222	5732900
28882	28882	16	3	0	98	4	0.8208	1742904	3193428	2235870
28883	28883	16	3	0	114	6	0.1233	331215	383952	325956
28884	28884	16	3	0	97	3	0.1483	589347	457362	432635
28885	28885	16	3	0	96	2	0.4961	1895821	1765502	1489115
28886	28886	16	3	0	92	3	0.6163	1801918	2283243	1753189
28887	28887	16	3	0	122	6	0.214	521135	687209	506554
28888	28888	16	3	0	96	2	1.748	4099769	6674618	5187080
28889	28889	16	3	0	94	3	0.4761	1232758	1856311	1429398
28890	28890	16	3	0	98	4	0.05008	99077	93631	79130
28891	28891	16	3	2			2.012	0	8179878	4926365
28892	28892	16	3	0	97	2	2.502	6655097	8743028	6900314
28893	28893	16	3	0	94	3	0.1919	567546	668403	596721
28894	28894	16	3	0	92	2	0.2615	872272	931814	764139
28895	28895	16	3	0	94	3	0.367	1176557	1383809	1146840
28896	28896	16	3	0	95	3	0.4549	1467593	1625371	1318709
28897	28897	16	3	0	97	2	0.485	817361	1909365	1381267
28898	28898	16	3	0	98	4	0.05906	197130	120366	107989
28899	28899	16	3	0	107	4	0.1025	352131	315354	269108
28900	28900	16	3	0	113	5	1.313	1662361	5289003	3849925
28901	28901	16	3	2			0.02681	0	46764	34029
28902	28902	16	3	0	100	3	2.11	5527543	7215596	4677651
28903	28903	16	3	0	98	4	1.231	2961720	4668176	3596778
28904	28904	16	3	0	91	2	0.1257	353568	413658	342376
28905	28905	16	3	2			1.149	0	4570175	2793297
28906	28906	16	3	0	109	7	33.61	24370458	106808165	67192254
28907	28907	16	3	2			0.004214	0	98	39
28908	28908	16	3	0	101	3	0.897	2494738	3384431	2606315
28909	28909	16	3	0	92	2	0.06471	178567	169435	148579
28910	28910	16	3	0	94	3	0.7637	2017533	2928081	2190872
28911	28911	16	3	0	107	4	0.4276	736921	1649776	1078881
28912	28912	16	3	0	110	4	0.8175	681911	3320037	2083003
28913	28913	16	3	0	109	4	0.106	292139	322459	273887
28914	28914	16	3	0	97	4	0.09941	212195	304524	239299
28915	28915	16	3	2			0.004169	0	8	5
28916	28916	16	3	0	93	3	0.06849	124178	173892	137370
28917	28917	16	3	2			7.918	0	29538091	17578698
28918	28918	16	3	2			0.004255	0	287	181
28919	28919	16	3	0	109	4	0.07355	115155	206143	170721
28920	28920	16	3	0	118	6	0.4602	499722	1898160	1299124
28921	28921	16	3	0	88	2	1.066	3282309	3952128	3064350
28922	28922	16	3	0	105	4	0.8345	2404192	3147489	2562785
28923	28923	16	3	2			0.004193	0	62	32
28924	28924	16	3	0	116	5	0.732	1345780	2834621	2134422
28925	28925	16	3	0	100	3	0.0825	199227	266556	228705
28926	28926	16	3	0	98	3	1.505	2966550	5630434	4474995
28927	28927	16	3	0	97	2	0.9169	1900436	3390639	2524673
28928	28928	16	3	0	93	3	1.377	3347071	5385398	3600342
28929	28929	16	3	0	95	3	1.613	5788178	5892722	4938722
